Time,Open,High,Low,Close,Buys,Sells,Buy_Amount,Sell_Amount,Bid,Ask
"2024/09/09, 08:29",18558.75,18570.5,18556.0,18568.5,2255,3088,1495.0,2253.0,529.0,581.0
"2024/09/09, 08:30",18568.25,18574.5,18559.75,18570.75,2590,2454,1952.0,1729.0,397.0,624.0
"2024/09/09, 08:31",18570.5,18583.5,18566.5,18580.5,2104,2838,1504.0,2142.0,488.0,490.0
"2024/09/09, 08:32",18581.0,18592.5,18580.0,18583.5,3470,3719,2335.0,2666.0,564.0,502.0
"2024/09/09, 08:33",18583.25,18595.0,18580.5,18589.75,2131,2294,1518.0,1739.0,467.0,538.0
"2024/09/09, 08:34",18589.5,18594.5,18583.0,18589.25,1577,1628,1094.0,1109.0,478.0,549.0
"2024/09/09, 08:35",18589.0,18592.75,18583.75,18588.25,1618,1523,1158.0,1063.0,541.0,538.0
"2024/09/09, 08:36",18588.5,18597.0,18587.75,18595.25,1109,1621,728.0,1145.0,498.0,614.0
"2024/09/09, 08:37",18595.5,18597.75,18589.5,18592.25,1257,1153,867.0,807.0,499.0,625.0
"2024/09/09, 08:38",18592.25,18594.5,18569.5,18581.5,3699,2282,2624.0,1521.0,558.0,448.0
"2024/09/09, 08:39",18581.5,18596.75,18580.75,18595.75,1663,2155,1166.0,1552.0,453.0,586.0
"2024/09/09, 08:40",18596.25,18600.0,18591.25,18596.0,1327,2136,929.0,1533.0,439.0,554.0
"2024/09/09, 08:41",18596.0,18609.0,18594.5,18604.75,1820,2777,1259.0,2042.0,526.0,525.0
"2024/09/09, 08:42",18604.5,18607.0,18595.25,18597.75,1755,1238,1258.0,836.0,574.0,460.0
"2024/09/09, 08:43",18597.75,18600.0,18587.25,18591.25,2197,1461,1636.0,1003.0,494.0,445.0
"2024/09/09, 08:44",18592.0,18593.75,18585.75,18591.5,1453,1108,1078.0,840.0,532.0,494.0
"2024/09/09, 08:45",18591.5,18592.75,18585.25,18589.25,1222,1210,835.0,859.0,526.0,477.0
